Key,Summary,Description,Type,Priority,Component,Test Mode
VWO-00025,Verify Custom Variables : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that Custom Variables functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Custom Variables section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-8894
Story Points: 4
Estimate: 8 hours
",Integration,Trivial,Analytics,Automated
VWO-00026,Verify 注意力 Maps : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that 注意力 Maps functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to 注意力 Maps section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-1479
Story Points: 13
Estimate: 1 hours
",Integration,Minor,Integrations,Automated
VWO-00027,Verify Multivariate Test : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Multivariate Test functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Multivariate Test section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-6512
Story Points: 5
Estimate: 3 hours
",Regression,Minor,Analytics,Manual
VWO-00028,Verify Angular Support : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that Angular Support functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Angular Support section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-5727
Story Points: 10
Estimate: 6 hours
",Integration,Blocker,Core,Automated
VWO-00029,Verify GDPR Compliance : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that GDPR Compliance functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to GDPR Compliance section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-2269
Story Points: 9
Estimate: 4 hours
",UX,Trivial,Editor,Manual
VWO-00030,Verify Audience Size : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Audience Size functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Audience Size section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-8001
Story Points: 11
Estimate: 3 hours
",Integration,Critical,Security,Automated
VWO-00031,Verify Campaign Edit : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Campaign Edit functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Edit section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-1561
Story Points: 2
Estimate: 1 hours
",Smoke,Critical,Mobile,Automated
VWO-00032,Verify 注意力 Maps : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that 注意力 Maps functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to 注意力 Maps section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-4057
Story Points: 5
Estimate: 6 hours
",Security,Critical,Security,Automated
VWO-00033,Verify  AMP Pages : User is correctly shows variations to users,"
Description:
As a VWO user
I want to verify that  AMP Pages functionality works correctly
So that I can correctly shows variations to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to  AMP Pages section
2. Perform action: correctly shows variations to users
3. Verify the result

Expected Result: Correct content is shown

Related Jira: VWO-5641
Story Points: 3
Estimate: 3 hours
",Smoke,Blocker,Core,Automated
VWO-00034,Verify Data Export : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Data Export functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Export section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-1680
Story Points: 3
Estimate: 1 hours
",Functional,Minor,Security,Automated
VWO-00035,Verify EU Compliance : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that EU Compliance functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to EU Compliance section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-6929
Story Points: 10
Estimate: 1 hours
",Smoke,Major,API,Manual
VWO-00036,Verify Import Variations : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Import Variations functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Import Variations section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-6947
Story Points: 2
Estimate: 2 hours
",Functional,Trivial,API,Automated
VWO-00037,Verify Statistical Significance : User is able to export reports,"
Description:
As a VWO user
I want to verify that Statistical Significance functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Statistical Significance section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-8813
Story Points: 2
Estimate: 1 hours
",Regression,Minor,Core,Automated
VWO-00038,Verify Custom Audience : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that Custom Audience functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Custom Audience section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-4716
Story Points: 8
Estimate: 6 hours
",Security,Major,Integrations,Automated
VWO-00039,Verify PWA : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that PWA functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to PWA section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Correct content is shown

Related Jira: VWO-5200
Story Points: 9
Estimate: 2 hours
",Smoke,Trivial,Integrations,Automated
VWO-00040,Verify Scheduled Maintenance : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that Scheduled Maintenance functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scheduled Maintenance section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-7339
Story Points: 7
Estimate: 3 hours
",UX,Minor,Dashboard,Automated
VWO-00041,Verify Banner : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Banner functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Banner section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-2627
Story Points: 9
Estimate: 7 hours
",Performance,Trivial,Performance,Automated
VWO-00042,Verify Notifications : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Notifications functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Notifications section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Campaign is created and saved

Related Jira: VWO-7039
Story Points: 3
Estimate: 3 hours
",Smoke,Trivial,API,Automated
VWO-00043,Verify Campaign Delete : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Campaign Delete functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Delete section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: Traffic is distributed correctly

Related Jira: VWO-5749
Story Points: 8
Estimate: 3 hours
",Performance,Trivial,API,Manual
VWO-00044,Verify Meteor Compatibility : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Meteor Compatibility functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Meteor Compatibility section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Variation is displayed correctly

Related Jira: VWO-5994
Story Points: 11
Estimate: 4 hours
",Security,Blocker,Performance,Automated
VWO-00045,Verify JQuery Support : User is able to export reports,"
Description:
As a VWO user
I want to verify that JQuery Support functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to JQuery Support section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-2268
Story Points: 5
Estimate: 5 hours
",Regression,Blocker,Dashboard,Automated
VWO-00046,Verify Exit Intent : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that Exit Intent functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Exit Intent section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Correct content is shown

Related Jira: VWO-8756
Story Points: 4
Estimate: 6 hours
",Regression,Blocker,Performance,Manual
VWO-00047,Verify Traffic Estimation : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that Traffic Estimation functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Traffic Estimation section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-5571
Story Points: 13
Estimate: 5 hours
",Security,Critical,Performance,Automated
VWO-00048,Verify Save Draft : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Save Draft functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Save Draft section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-4797
Story Points: 9
Estimate: 1 hours
",Security,Minor,Analytics,Automated
VWO-00049,Verify Revenue Goal : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Revenue Goal functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Revenue Goal section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-3655
Story Points: 1
Estimate: 5 hours
",Security,Blocker,Performance,Automated
VWO-00050,Verify California Compliance : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that California Compliance functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to California Compliance section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-4477
Story Points: 7
Estimate: 7 hours
",Performance,Trivial,Performance,Automated
VWO-00051,Verify Statistical Significance : User is shows confirmation dialogs,"
Description:
As a VWO user
I want to verify that Statistical Significance functionality works correctly
So that I can shows confirmation dialogs

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Statistical Significance section
2. Perform action: shows confirmation dialogs
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-6157
Story Points: 2
Estimate: 6 hours
",UX,Trivial,Mobile,Automated
VWO-00052,Verify Duration Calculator : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Duration Calculator functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Duration Calculator section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-8186
Story Points: 6
Estimate: 2 hours
",Functional,Trivial,Mobile,Automated
VWO-00053,Verify Click Maps : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Click Maps functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Click Maps section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Analytics are displayed

Related Jira: VWO-3964
Story Points: 13
Estimate: 2 hours
",Performance,Trivial,Analytics,Manual
VWO-00054,Verify Scroll Depth : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Scroll Depth functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scroll Depth section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-2300
Story Points: 13
Estimate: 6 hours
",Integration,Critical,Analytics,Automated
VWO-00055,Verify Primary Goal : User is able to export reports,"
Description:
As a VWO user
I want to verify that Primary Goal functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Primary Goal section
2. Perform action: able to export reports
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-5342
Story Points: 4
Estimate: 6 hours
",Regression,Trivial,Core,Manual
VWO-00056,Verify Session Recordings : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that Session Recordings functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Session Recordings section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-7275
Story Points: 3
Estimate: 2 hours
",Smoke,Minor,Dashboard,Manual
VWO-00057,Verify Account Transfer : User is correctly displays heatmap data,"
Description:
As a VWO user
I want to verify that Account Transfer functionality works correctly
So that I can correctly displays heatmap data

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Account Transfer section
2. Perform action: correctly displays heatmap data
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-6389
Story Points: 5
Estimate: 7 hours
",Security,Major,API,Manual
VWO-00058,Verify UTM Tracking : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that UTM Tracking functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to UTM Tracking section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-4647
Story Points: 4
Estimate: 3 hours
",UX,Blocker,Analytics,Manual
VWO-00059,Verify IP Anonymization : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that IP Anonymization functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to IP Anonymization section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-9994
Story Points: 8
Estimate: 2 hours
",Regression,Blocker,Security,Automated
VWO-00060,Verify Statistical Significance : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that Statistical Significance functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Statistical Significance section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Team member receives invitation

Related Jira: VWO-6624
Story Points: 9
Estimate: 3 hours
",UX,Trivial,Performance,Automated
VWO-00061,Verify Banner : User is correctly applies targeting,"
Description:
As a VWO user
I want to verify that Banner functionality works correctly
So that I can correctly applies targeting

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Banner section
2. Perform action: correctly applies targeting
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-8414
Story Points: 7
Estimate: 7 hours
",Security,Trivial,Analytics,Automated
VWO-00062,Verify Campaign Edit : User is properly validates input fields,"
Description:
As a VWO user
I want to verify that Campaign Edit functionality works correctly
So that I can properly validates input fields

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Edit section
2. Perform action: properly validates input fields
3. Verify the result

Expected Result: Campaign changes are saved

Related Jira: VWO-3757
Story Points: 4
Estimate: 2 hours
",Regression,Major,Mobile,Automated
VWO-00063,Verify Audience Size : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Audience Size functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Audience Size section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-4935
Story Points: 9
Estimate: 4 hours
",Smoke,Minor,Core,Automated
VWO-00064,Verify 2FA : User is correctly displays dashboard,"
Description:
As a VWO user
I want to verify that 2FA functionality works correctly
So that I can correctly displays dashboard

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to 2FA section
2. Perform action: correctly displays dashboard
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-7876
Story Points: 8
Estimate: 6 hours
",Performance,Minor,Editor,Manual
VWO-00065,Verify Footer : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Footer functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Footer section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-2804
Story Points: 13
Estimate: 6 hours
",Functional,Major,Integrations,Automated
